Word	Similar_Word	Sense_id	Semantic_Similarity
jaguar	2	volkswagen	1	0.88943523
jaguar	2	vw	1	0.88726836
jaguar	2	xjr	1	0.87863517
perl	2	emacs	1	0.85974133
perl	2	interpreter	1	0.833082
perl	2	macro	1	0.8391304
perl	2	perlpp	1	0.83967644
perl	2	preprocessor	1	0.8562625
perl	2	shell	1	0.8829242
python	2	antz	1	0.6154215
python	2	charmed	1	0.59467405
python	2	cleese	1	0.60348254
python	2	fliegender	1	0.59872466
python	2	funnyman	1	0.594529
python	2	gatiss	1	0.59444463
python	2	grouchland	1	0.60572594
python	2	henson	1	0.6298836
python	2	lorre	1	0.5974249
python	2	monty	1	0.7160411
python	2	muppets	1	0.6624375
python	2	pippin	1	0.63037187
python	2	pythonas	1	0.7079458
python	2	serafinowicz	1	0.6216478
python	2	spamalot	1	0.76370054
python	2	starcatchers	1	0.5971648
python	2	zardoz	1	0.6466679
python	2	zirkus	1	0.63680965
ruby	2	cygwin	1	0.7370492
ruby	2	ecmascript	1	0.7407377
ruby	2	jscript	1	0.78182644
ruby	2	jython	1	0.7835613
ruby	2	lighttpd	1	0.7339011
ruby	2	msxml	1	0.73895925
ruby	2	python	1	0.80096436
ruby	2	sqlite	1	0.753283
ruby	2	turbogears	1	0.7326717
apple	2	c1300	2	0.781259
apple	2	intel	2	0.7779517
apple	2	ipod	2	0.81878966
bank	2	donor	2	0.63320076
bank	2	ecb	2	0.7027964
bank	2	equities	2	0.6299385
bank	2	ncm	2	0.65009207
bank	2	oecd	2	0.64054096
bank	2	rbs	2	0.64340246
brother	2	auntie	2	0.8616876
brother	2	cousin	2	0.9363834
brother	2	fiance	2	0.87252754
brother	2	friend	2	0.82531106
brother	2	grandfather	2	0.8264703
brother	2	niece	2	0.8766328
brother	2	sister	2	0.94747645
brother	2	stepfather	2	0.82675
brother	2	wife	2	0.8369205
jaguar	2	audi	2	0.8761255
jaguar	2	nissan	2	0.8936507
perl	2	code	2	0.8554107
perl	2	compiler	2	0.82533884
perl	2	javascript	2	0.83552796
perl	2	makefile	2	0.85687727
perl	2	pl	2	0.8496273
perl	2	script	2	0.8473815
perl	2	wrapper	2	0.8645059
python	2	spoofing	2	0.6034041
ruby	2	ajax	2	0.76397055
ruby	2	javascript	2	0.7419462
ruby	2	php	2	0.7759311
ruby	2	rails	2	0.7915099
ruby	2	scripting	2	0.7769657
apple	2	laptop	3	0.775351
apple	2	mini	3	0.8175576
bank	2	bric	3	0.6269713
bank	2	cbi	3	0.6366871
bank	2	imf	3	0.6722925
brother	2	daughter	3	0.89854455
brother	2	grandmother	3	0.85061103
brother	2	mother	3	0.8719848
canon	2	camera	3	0.8307067
canon	2	s2	3	0.8425699
jaguar	2	austin	3	0.8675559
jaguar	2	fiat	3	0.8784705
jaguar	2	ford	3	0.90261066
jaguar	2	rover	3	0.8849991
perl	2	awk	3	0.9042252
perl	2	idl	3	0.8496782
perl	2	lisp	3	0.8393986
python	2	idle	3	0.6467426
ruby	2	lua	3	0.7414472
ruby	2	perl	3	0.7991647
ruby	2	tcl	3	0.7706539
apple	2	ipod	4	0.87034816
apple	2	sony	4	0.8070415
bank	2	banks	4	0.6402186
bank	2	fund	4	0.7562398
bank	2	ima	4	0.62977135
brother	2	father	4	0.83536196
brother	2	grandson	4	0.8699564
brother	2	husband	4	0.84544915
brother	2	uncle	4	0.8216179
jaguar	2	bmw	4	0.90391636
perl	2	gcc	4	0.83165526
perl	2	syntax	4	0.8485803
ruby	2	movable	4	0.7582636
apple	2	mac	5	0.85872555
bank	2	debt	5	0.6558213
bank	2	foreign	5	0.6378701
brother	2	nephew	5	0.8936976
canon	2	canon	5	0.8320317
perl	2	java	5	0.86276734
perl	2	sql	5	0.83405197
ruby	2	java	5	0.76527774
ruby	2	python	5	0.78689235
apple	3	banana	1	0.95093757
apple	3	blackberry	1	0.9317537
apple	3	cherries	1	0.9332578
apple	3	citrus	1	0.93147063
apple	3	hazelnut	1	0.9323292
apple	3	mango	1	0.9348523
apple	3	melon	1	0.93520683
apple	3	mint	1	0.94423807
apple	3	nectarine	1	0.9344384
apple	3	pear	1	0.9518283
apple	3	pineapple	1	0.934696
apple	3	plum	1	0.9592415
apple	3	pomegranate	1	0.936304
apple	3	raspberry	1	0.9318332
apple	3	rhubarb	1	0.94819456
apple	3	strawberry	1	0.9520081
apple	3	sweet	1	0.947802
apple	3	walnut	1	0.93770057
bank	3	bankshares	1	0.70847285
bank	3	cibc	1	0.7345775
bank	3	citigroup	1	0.76538026
bank	3	hambros	1	0.73160243
bank	3	hbos	1	0.7555288
bank	3	icici	1	0.72658587
bank	3	keybank	1	0.71253026
bank	3	ubs	1	0.7419891
brother	3	assassinated	1	0.8219933
brother	3	cousin	1	0.95296466
brother	3	dejazmatch	1	0.82247585
brother	3	elder	1	0.8246603
brother	3	grandson	1	0.87522227
brother	3	grandsons	1	0.8379228
brother	3	prince	1	0.81544834
brother	3	successor	1	0.873098
brother	3	uncle	1	0.93721795
brother	3	wife	1	0.8717264
brother	3	woizero	1	0.82108957
canon	3	apocrypha	1	0.78080165
canon	3	apocryphal	1	0.7750555
canon	3	bible	1	0.7847142
canon	3	canonical	1	0.8232276
canon	3	dharmastra	1	0.74442387
canon	3	exegeses	1	0.75150114
canon	3	exegetic	1	0.7452235
canon	3	hekhalot	1	0.7595035
canon	3	kabbalah	1	0.74739164
canon	3	redaction	1	0.7441118
canon	3	scriptures	1	0.7722278
canon	3	tanakh	1	0.75428635
canon	3	zohar	1	0.77757174
canon	3	zoharic	1	0.7720173
jaguar	3	anaconda	1	0.7535157
jaguar	3	anthropomorphized	1	0.7456885
jaguar	3	fanged	1	0.7484392
jaguar	3	harpy	1	0.83594894
jaguar	3	insectoid	1	0.74076855
jaguar	3	mandrill	1	0.75158185
jaguar	3	margay	1	0.74554014
jaguar	3	ocelot	1	0.7727544
jaguar	3	saurian	1	0.74170697
jaguar	3	stymphalian	1	0.7466719
jaguar	3	tarantula	1	0.74492264
jaguar	3	warthog	1	0.8075819
jaguar	3	wildebeest	1	0.7549035
perl	3	cobol	1	0.8127597
perl	3	coldfusion	1	0.8061132
perl	3	j2ee	1	0.7989942
perl	3	jscript	1	0.84094495
perl	3	python	1	0.8017628
perl	3	vb6	1	0.8093413
perl	3	vba	1	0.7938365
python	3	dbweb	1	0.6847453
python	3	issue51	1	0.7023828
python	3	javadoc	1	0.7034689
python	3	mas01em	1	0.6816131
python	3	node36	1	0.68087196
python	3	rssnews	1	0.6815452
python	3	srsbook	1	0.72956973
python	3	viewcvs	1	0.6978316
ruby	3	amethyst	1	0.8072121
ruby	3	aventurine	1	0.8164464
ruby	3	blush	1	0.8484039
ruby	3	cerise	1	0.81637686
ruby	3	citrine	1	0.8516045
ruby	3	emerald	1	0.8368742
ruby	3	fawn	1	0.8077275
ruby	3	indigo	1	0.81249017
ruby	3	lilac	1	0.8433136
ruby	3	topaz	1	0.85862213
ruby	3	turquoise	1	0.8713288
apple	3	berries	2	0.93558836
bank	3	anz	2	0.7771561
bank	3	barclays	2	0.7725799
bank	3	citibank	2	0.77749234
bank	3	coutts	2	0.7051743
bank	3	deutsche	2	0.72811455
bank	3	holdings	2	0.70785326
bank	3	scotiabank	2	0.72016305
bank	3	securities	2	0.76896703
bank	3	westpac	2	0.7336739
brother	3	brothers	2	0.8520123
brother	3	daughter	2	0.86347467
brother	3	eldest	2	0.85424495
brother	3	nephew	2	0.9324617
brother	3	son	2	0.9418848
canon	3	mosaic	2	0.76335526
canon	3	pentateuch	2	0.7566273
canon	3	rabbinic	2	0.7507388
canon	3	talmud	2	0.7651617
canon	3	texts	2	0.76866627
jaguar	3	cougar	2	0.8257738
jaguar	3	coyote	2	0.7940789
jaguar	3	vulture	2	0.78708845
perl	3	asp	2	0.7992739
perl	3	assembler	2	0.7960806
perl	3	php	2	0.81931674
perl	3	programming	2	0.7970474
perl	3	ruby	2	0.79916483
perl	3	scripting	2	0.8962617
perl	3	servlets	2	0.8052122
python	3	devel	2	0.6971678
python	3	pub	2	0.6941178
python	3	readme	2	0.7042936
python	3	xml	2	0.69779253
ruby	3	brilliant	2	0.80515796
ruby	3	burgundy	2	0.825588
ruby	3	chocolate	2	0.8294343
ruby	3	cobalt	2	0.80262953
ruby	3	green	2	0.8159771
apple	3	orange	3	0.94285405
bank	3	hsbc	3	0.7607999
brother	3	father	3	0.8839447
brother	3	sons	3	0.86160284
brother	3	youngest	3	0.82058716
canon	3	writings	3	0.7452165
jaguar	3	puma	3	0.80217594
perl	3	mysql	3	0.8674265
perl	3	vb	3	0.8529057
python	3	cpm	3	0.6821213
python	3	faq	3	0.688379
python	3	unix	3	0.68994886
ruby	3	bronze	3	0.83587015
ruby	3	gem	3	0.84413934
ruby	3	sapphire	3	0.8581302
ruby	3	teal	3	0.802138
bank	3	banking	4	0.730555
brother	3	grandfather	4	0.8915973
jaguar	3	unicorn	4	0.7613677
python	3	dist	4	0.7017307
python	3	java	4	0.686741
python	3	perl	4	0.7188972
python	3	sld	4	0.68776065
bank	3	investments	5	0.7120411
jaguar	3	hawk	5	0.7673136
jaguar	3	wolf	5	0.7423622
perl	3	java	5	0.8059096
perl	3	jsp	5	0.8119607
perl	3	net	5	0.848963
perl	3	xml	5	0.81311005
python	3	config	5	0.73326105
apple	4	compusa	1	0.6640299
apple	4	corp	1	0.6328499
apple	4	entertainment	1	0.6862436
apple	4	macworld	1	0.6644893
apple	4	musicnet	1	0.65096587
apple	4	mycokemusic	1	0.6313504
apple	4	redoctane	1	0.6341949
apple	4	starbucks	1	0.6291304
apple	4	wippit	1	0.6355013
bank	4	barclaycard	1	0.77540123
bank	4	card	1	0.7289386
bank	4	chequebook	1	0.7423305
bank	4	citibank	1	0.73498905
bank	4	escrow	1	0.79014105
bank	4	flexaccount	1	0.74526125
bank	4	merchant	1	0.7909664
bank	4	overdraft	1	0.7330749
bank	4	overdrawn	1	0.7274148
bank	4	passbook	1	0.77794343
bank	4	save4it	1	0.74201614
brother	4	fiance	1	0.83323526
brother	4	fiancee	1	0.82312787
brother	4	girlfriend	1	0.87863714
brother	4	longtime	1	0.8358433
brother	4	roommate	1	0.87302244
brother	4	schoolmate	1	0.8053454
brother	4	stepfather	1	0.82032293
canon	4	27arc	1	0.62766457
canon	4	a9o	1	0.6145893
canon	4	abeille	1	0.6050452
canon	4	acier	1	0.61744684
canon	4	botanique	1	0.60656416
canon	4	chru	1	0.6089087
canon	4	gribeauval	1	0.6496289
canon	4	luce	1	0.6124806
canon	4	modele	1	0.66395783
canon	4	obusier	1	0.73779017
canon	4	piea	1	0.6094925
canon	4	reffye	1	0.66147995
jaguar	4	nissans	1	0.8011834
jaguar	4	prodrive	1	0.8091273
perl	4	cgiwrap	1	0.751117
perl	4	cpan	1	0.79695195
perl	4	kde	1	0.7499289
perl	4	redhat	1	0.77249134
perl	4	tcltk	1	0.78350306
perl	4	utils	1	0.7724543
perl	4	viewcvs	1	0.7838425
perl	4	webserver	1	0.74989605
python	4	harpy	1	0.71713895
python	4	jentink	1	0.71375626
python	4	kookaburra	1	0.7168002
python	4	krait	1	0.73783803
python	4	molurus	1	0.74744076
python	4	myliobatis	1	0.72587395
python	4	nigripes	1	0.72445345
python	4	ocelot	1	0.7448825
python	4	porcupine	1	0.7284993
python	4	prioniturus	1	0.7189488
python	4	skulled	1	0.7399531
python	4	thomasi	1	0.71330535
python	4	tusked	1	0.7244452
python	4	urolophus	1	0.72124165
python	4	warthog	1	0.74967575
python	4	weasel	1	0.72542936
ruby	4	janie	1	0.8184386
ruby	4	lynn	1	0.82145226
ruby	4	pamela	1	0.8181992
ruby	4	sadie	1	0.82793283
ruby	4	sue	1	0.81968254
ruby	4	suzy	1	0.84662396
apple	4	autodesk	2	0.70088494
apple	4	crawfish	2	0.67615515
apple	4	kodak	2	0.63392156
apple	4	napster	2	0.66233903
apple	4	sandisk	2	0.63883996
apple	4	sony	2	0.6748998
bank	4	banker	2	0.7408406
bank	4	bankfacts	2	0.77758276
bank	4	broker	2	0.77792233
bank	4	giro	2	0.7657637
bank	4	lender	2	0.7482197
brother	4	father	2	0.7911043
brother	4	granddaughter	2	0.802065
brother	4	younger	2	0.88079244
canon	4	approbation	2	0.6394177
canon	4	coup	2	0.6082434
canon	4	mle	2	0.66743594
canon	4	tome	2	0.633227
canon	4	vit	2	0.60733855
jaguar	4	bmc	2	0.8215738
jaguar	4	cosworth	2	0.8384002
jaguar	4	porsche	2	0.8162643
jaguar	4	toyota	2	0.80777234
jaguar	4	volvo	2	0.8091975
perl	4	gnu	2	0.77938277
perl	4	pub	2	0.75855887
perl	4	readme	2	0.7958853
perl	4	ssl	2	0.75836575
python	4	racquet	2	0.72389776
ruby	4	angie	2	0.8301303
ruby	4	stacey	2	0.8168194
ruby	4	suzie	2	0.833626
apple	4	3com	3	0.6537563
apple	4	google	3	0.65745956
apple	4	intel	3	0.65279055
apple	4	software	3	0.65954995
bank	4	halifax	3	0.74037653
brother	4	alexis	3	0.7986879
brother	4	boyfriend	3	0.85224813
brother	4	dylan	3	0.803565
brother	4	husband	3	0.82779384
brother	4	older	3	0.82021743
brother	4	sibling	3	0.80421937
canon	4	grenade	3	0.62178713
canon	4	magnum	3	0.64230317
jaguar	4	austin	3	0.8031463
jaguar	4	bmw	3	0.8226989
jaguar	4	citroen	3	0.8130753
jaguar	4	ducati	3	0.8007659
jaguar	4	f1	3	0.82386684
jaguar	4	mclaren	3	0.8200568
jaguar	4	mg	3	0.85131633
jaguar	4	vauxhall	3	0.82191515
perl	4	faq	3	0.79165876
perl	4	ftp	3	0.79665095
perl	4	unix	3	0.851517
python	4	kangaroo	3	0.71651
python	4	tasmanian	3	0.7217327
ruby	4	ann	3	0.8216305
ruby	4	gloria	3	0.8266773
ruby	4	melanie	3	0.8298819
bank	4	account	4	0.8786296
bank	4	hsbc	4	0.7472926
brother	4	friend	4	0.8564482
brother	4	sister	4	0.860204
canon	4	mus	4	0.63956463
jaguar	4	audi	4	0.82776904
jaguar	4	bmw	4	0.8145315
jaguar	4	suzuki	4	0.8012861
jaguar	4	triumph	4	0.8113866
perl	4	docs	4	0.7726917
perl	4	java	4	0.80931085
perl	4	samba	4	0.78222185
python	4	snake	4	0.73123825
apple	4	microsoft	5	0.634627
bank	4	deposit	5	0.7901254
brother	4	cousin	5	0.9131382
brother	4	daughter	5	0.8218958
jaguar	4	honda	5	0.8231211
perl	4	cgi	5	0.7833257
perl	4	config	5	0.79466903
ruby	4	jennifer	5	0.82606214
ruby	4	jill	5	0.8239397
ruby	4	katherine	5	0.8344828
ruby	4	penny	5	0.831158
ruby	4	sandy	5	0.82364875
ruby	4	shannon	5	0.8274512
ruby	4	sharon	5	0.8545076
ruby	4	vera	5	0.82988924
bank	5	across	1	0.787227
bank	5	slope	1	0.77068585
bank	5	tidal	1	0.78689265
bank	5	towards	1	0.77727467
bank	5	wharfe	1	0.79367983
brother	5	avengerz	1	0.5697673
brother	5	bbc6	1	0.56324357
brother	5	big	1	0.6175475
brother	5	brovaz	1	0.5746981
brother	5	chucklevision	1	0.559473
brother	5	lebowski	1	0.6407484
brother	5	petshopboys	1	0.5548586
brother	5	pinoy	1	0.65160215
brother	5	smtv	1	0.5673334
canon	5	300d	1	0.84032714
canon	5	350d	1	0.87338126
canon	5	8mp	1	0.86380637
canon	5	digicam	1	0.8385459
canon	5	dslr	1	0.8727996
canon	5	easyshare	1	0.8457444
canon	5	eos	1	0.85190785
canon	5	ixus	1	0.8399961
canon	5	minolta	1	0.8721222
canon	5	nikon	1	0.8556419
canon	5	olympus	1	0.86468804
canon	5	pentax	1	0.8412321
canon	5	slr	1	0.870415
canon	5	sony	1	0.83785415
perl	5	bluej	1	0.6790913
perl	5	ironpython	1	0.6895688
perl	5	jython	1	0.6735846
perl	5	kdevelop	1	0.6643616
perl	5	lisp	1	0.7263086
perl	5	lyx	1	0.6682216
perl	5	xemacs	1	0.6720067
perl	5	xul	1	0.6822374
python	5	applescript	1	0.8181705
python	5	ironpython	1	0.81273925
python	5	lyx	1	0.7989819
python	5	wsgi	1	0.79294
ruby	5	ezra	1	0.67562515
ruby	5	owens	1	0.5593741
ruby	5	prantera	1	0.54741883
apple	5	avocado	2	0.71292514
apple	5	banana	2	0.72813493
apple	5	omelette	2	0.68804336
apple	5	pudding	2	0.71504366
apple	5	stew	2	0.6777055
apple	5	watermelon	2	0.73135746
bank	5	banks	2	0.85963255
bank	5	edge	2	0.8202684
bank	5	embankment	2	0.7702772
bank	5	flank	2	0.81591463
bank	5	humber	2	0.7799
bank	5	immediately	2	0.7946187
bank	5	opposite	2	0.81232995
bank	5	skirting	2	0.801649
brother	5	e4	2	0.5997585
brother	5	hype	2	0.5567675
brother	5	idol	2	0.55688286
brother	5	kids	2	0.5538539
brother	5	revolution	2	0.5765593
brother	5	ugly	2	0.55400723
brother	5	xtra	2	0.55473983
canon	5	hasselblad	2	0.8469292
canon	5	philips	2	0.8570237
canon	5	ricoh	2	0.8847746
perl	5	camino	2	0.66463596
perl	5	coding	2	0.6803028
perl	5	emacs	2	0.7070922
perl	5	programming	2	0.67603695
perl	5	prolog	2	0.6801888
perl	5	ruby	2	0.6775647
python	5	firefox	2	0.7948489
python	5	freebsd	2	0.78190196
python	5	gtk	2	0.81058234
python	5	javascript	2	0.7810061
python	5	linux	2	0.80949944
python	5	opengl	2	0.78236896
python	5	perl	2	0.81153655
python	5	ruby	2	0.7868923
ruby	5	dixon	2	0.5458496
ruby	5	evie	2	0.5566988
ruby	5	joey	2	0.54844916
ruby	5	kathy	2	0.55688524
ruby	5	kayla	2	0.55524737
ruby	5	madeleine	2	0.791618
ruby	5	sonny	2	0.59137964
ruby	5	vicki	2	0.6136145
ruby	5	wanda	2	0.56539965
apple	5	cabbage	3	0.68286216
apple	5	cheese	3	0.67932016
apple	5	melon	3	0.7163607
apple	5	potato	3	0.7103208
apple	5	pumpkin	3	0.73960316
bank	5	side	3	0.8769735
bank	5	south	3	0.7982383
bank	5	thames	3	0.7880866
brother	5	celebrity	3	0.58663595
brother	5	loser	3	0.58437747
brother	5	reality	3	0.5873692
canon	5	camera	3	0.85074306
canon	5	kodak	3	0.86247265
perl	5	compiler	3	0.67144966
perl	5	debian	3	0.6702102
perl	5	mozilla	3	0.67710406
python	5	awk	3	0.78561574
python	5	compiler	3	0.79759985
python	5	kde	3	0.78293663
python	5	lisp	3	0.79782116
ruby	5	babe	3	0.5864658
ruby	5	brown	3	0.5448654
ruby	5	dancer	3	0.5575062
ruby	5	lenny	3	0.5578193
apple	5	chicken	4	0.7429277
apple	5	coconut	4	0.67828375
apple	5	pea	4	0.6823427
apple	5	potatoes	4	0.68557423
apple	5	strawberry	4	0.70374095
bank	5	estuary	4	0.8007609
bank	5	lower	4	0.78614837
bank	5	north	4	0.78906715
bank	5	overlooking	4	0.77337974
canon	5	nikon	4	0.8991548
perl	5	dreamweaver	4	0.66217554
python	5	gnu	4	0.7985552
python	5	unix	4	0.79524004
ruby	5	seth	4	0.76229733
ruby	5	webb	4	0.55282134
apple	5	acorn	5	0.67731243
apple	5	egg	5	0.7961058
apple	5	elephant	5	0.68370163
apple	5	goose	5	0.71457434
brother	5	bang	5	0.5630496
perl	5	gnu	5	0.67284864
perl	5	python	5	0.7866451
python	5	java	5	0.81366307
python	5	perl	5	0.7866451
ruby	5	historian	5	0.55135536
ruby	5	pauline	5	0.538334
